UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,timestamp,machine_id
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,2024-01-01 10:00:00,H29424
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,2024-01-01 11:00:00,H29425
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,2024-01-01 18:00:00,H29432
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,2024-01-01 20:00:00,H29434
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,2024-01-02 03:00:00,H29441
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,2024-01-02 14:00:00,H29452
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,2024-01-02 19:00:00,H29457
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,2024-01-03 00:00:00,H29462
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,2024-01-03 04:00:00,H29466
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,2024-01-03 19:00:00,H29481
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,2024-01-04 08:00:00,H29494
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,2024-01-04 14:00:00,H29500
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,2024-01-05 12:00:00,H29522
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,2024-01-05 15:00:00,H29525
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,2024-01-06 16:00:00,H29550
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,2024-01-06 18:00:00,H29552
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,2024-01-06 23:00:00,H29557
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,2024-01-07 02:00:00,H29560
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,2024-01-07 11:00:00,H29569
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,2024-01-07 13:00:00,H29571
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,2024-01-07 22:00:00,H29580
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,2024-01-07 23:00:00,H29581
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,2024-01-08 13:00:00,H29595
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,2024-01-09 00:00:00,H29606
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,2024-01-09 01:00:00,H29607
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,2024-01-09 04:00:00,H29610
